userId,age,gender,EducationalLevel,artExperience,photographyExperience,personality-E,personality-A,personality-N,personality-O,personality-C
A3393ee,30-34,female,junior_college,proficient,proficient,6,9,4,7,10
A622653,18-21,female,university,proficient,competent,7,10,4,9,7
A098db8,30-34,female,senior_high_school,competent,competent,6,6,5,6,7
A697287,30-34,male,university,beginner,beginner,5,9,3,7,10
A27fab0,22-25,female,technical_secondary_school,beginner,competent,7,8,3,10,9
A09eb7d,26-29,female,technical_secondary_school,proficient,proficient,4,9,4,6,8
Ac7f24c,22-25,male,junior_college,beginner,beginner,8,8,5,10,8
A35c90b,26-29,male,senior_high_school,competent,beginner,4,10,4,5,8
Add24e6,26-29,female,technical_secondary_school,competent,competent,4,9,4,5,8
A2e1642,30-34,female,senior_high_school,beginner,beginner,6,10,6,5,8
A235aec,26-29,male,junior_college,proficient,proficient,5,10,4,8,9
A768d0b,26-29,female,junior_college,proficient,proficient,6,7,6,6,6
Ab22571,30-34,female,junior_college,proficient,competent,7,6,5,9,10
A00fc2e,30-34,male,junior_college,proficient,proficient,8,6,6,3,4
Ad82484,18-21,female,university,competent,proficient,7,6,5,7,6
Af180fb,26-29,female,junior_college,proficient,competent,4,8,4,7,7
A580790,26-29,male,senior_high_school,beginner,beginner,8,8,7,7,6
Ac85455,26-29,female,technical_secondary_school,beginner,beginner,6,7,5,8,7
A14433f,30-34,female,senior_high_school,proficient,proficient,5,9,4,8,9
Ad0175a,30-34,male,junior_high_school,beginner,beginner,6,7,4,6,6
A8411cd,22-25,male,junior_high_school,competent,proficient,6,9,4,9,10
Add73f7,26-29,female,university,beginner,beginner,6,8,5,7,7
Abf40de,22-25,male,senior_high_school,beginner,competent,5,10,5,7,8
A5aa4a1,22-25,female,junior_high_school,competent,competent,7,7,3,7,8
A7481e3,22-25,male,junior_college,proficient,proficient,5,8,5,7,10
A8abb72,26-29,female,university,proficient,proficient,6,6,4,7,6
A409131,30-34,female,junior_high_school,competent,competent,5,10,4,7,10
A48ea26,22-25,female,junior_college,proficient,proficient,6,10,3,8,10
A40f4d0,35-40,male,technical_secondary_school,expert,proficient,6,8,5,7,9
A5c7945,26-29,female,junior_college,competent,competent,6,8,4,8,9
A27ceba,35-40,female,technical_secondary_school,proficient,competent,5,8,4,6,8
Af9e062,30-34,female,technical_secondary_school,competent,proficient,7,8,3,7,8
A5c54a8,35-40,female,university,competent,beginner,7,9,3,9,9
A645d40,22-25,male,junior_college,proficient,proficient,7,5,6,6,7
A2dadec,26-29,male,junior_college,competent,beginner,8,10,2,10,10
A425b28,26-29,male,junior_college,beginner,beginner,6,9,3,8,10
A283aac,26-29,male,junior_college,competent,competent,7,8,6,8,7
A2ce68c,26-29,female,junior_college,proficient,competent,4,10,2,6,10
A97611b,30-34,male,junior_college,expert,proficient,6,6,4,8,7
A81f650,26-29,female,senior_high_school,competent,competent,7,8,5,8,7
Acee869,26-29,male,junior_college,proficient,proficient,5,6,3,8,9
A3ac4f1,18-21,female,senior_high_school,competent,beginner,6,8,4,7,7
A61fa7a,26-29,female,junior_college,competent,competent,8,10,5,7,9
