,imageName,aestheticScore,qualityScore
0,iaa_pub10000_.jpg,3.0208333333333335,3.158333333333333
1,iaa_pub10001_.jpg,3.2708333333333335,3.5208333333333335
2,iaa_pub10002_.jpg,2.875,2.9916666666666667
3,iaa_pub10003_.jpg,3.5625,3.8041666666666667
4,iaa_pub10004_.jpg,3.0208333333333335,3.2375000000000003
5,iaa_pub10005_.jpg,3.6875,3.845833333333333
6,iaa_pub10006_.jpg,3.625,3.716666666666667
7,iaa_pub10007_.jpg,3.3541666666666665,3.5666666666666664
8,iaa_pub10008_.jpg,3.2083333333333335,3.3249999999999997
9,iaa_pub10009_.jpg,3.7291666666666665,3.8375
10,iaa_pub1000_.jpg,3.64,3.668
11,iaa_pub10010_.jpg,2.2708333333333335,2.3541666666666665
12,iaa_pub10011_.jpg,3.2,3.488
13,iaa_pub10012_.jpg,3.0,3.2760000000000002
14,iaa_pub10013_.jpg,3.0,3.3680000000000003
15,iaa_pub10014_.jpg,1.96,2.1319999999999997
16,iaa_pub10015_.jpg,3.48,3.568
17,iaa_pub10016_.jpg,2.54,2.608
18,iaa_pub10017_.jpg,3.14,3.304
19,iaa_pub10018_.jpg,2.92,3.12
20,iaa_pub10019_.jpg,3.54,3.66
21,iaa_pub1001_.jpg,3.56,3.74
22,iaa_pub10020_.jpg,2.94,3.2880000000000003
23,iaa_pub10021_.jpg,2.72,2.952
24,iaa_pub10022_.jpg,3.12,3.128
25,iaa_pub10023_.jpg,3.04,3.404
26,iaa_pub10024_.jpg,3.02,3.188
27,iaa_pub10025_.jpg,2.88,3.0639999999999996
28,iaa_pub10026_.jpg,3.2,3.3080000000000003
29,iaa_pub10027_.jpg,2.66,2.9
30,iaa_pub10028_.jpg,2.14,2.176
31,iaa_pub10029_.jpg,3.66,3.7680000000000002
32,iaa_pub1002_.jpg,3.0,3.292
33,iaa_pub10030_.jpg,3.3,3.412
34,iaa_pub10031_.jpg,3.18,3.34
35,iaa_pub10032_.jpg,3.2,3.3960000000000004
36,iaa_pub10033_.jpg,3.8,3.8960000000000004
37,iaa_pub10034_.jpg,1.68,1.676
38,iaa_pub10035_.jpg,3.06,3.2239999999999998
39,iaa_pub10036_.jpg,3.5,3.6519999999999997
40,iaa_pub10037_.jpg,2.34,2.364
41,iaa_pub10038_.jpg,1.32,1.324
42,iaa_pub10039_.jpg,3.74,3.964
43,iaa_pub1003_.jpg,2.02,1.992
44,iaa_pub10040_.jpg,2.7,2.764
45,iaa_pub10041_.jpg,3.38,3.548
46,iaa_pub10042_.jpg,2.68,2.772
47,iaa_pub10043_.jpg,2.66,2.8680000000000003
48,iaa_pub10044_.jpg,2.76,2.992
49,iaa_pub10045_.jpg,2.86,3.072
50,iaa_pub10046_.jpg,3.14,3.3680000000000003
51,iaa_pub10047_.jpg,2.98,3.2
52,iaa_pub10048_.jpg,3.66,3.74
53,iaa_pub10049_.jpg,2.52,2.676
54,iaa_pub1004_.jpg,3.8,3.912
55,iaa_pub10050_.jpg,2.96,3.22
56,iaa_pub10051_.jpg,3.54,3.6839999999999997
57,iaa_pub10052_.jpg,3.1,3.468
58,iaa_pub10053_.jpg,2.68,2.8760000000000003
59,iaa_pub10054_.jpg,3.5,3.688
60,iaa_pub10055_.jpg,2.12,2.184
61,iaa_pub10056_.jpg,3.74,3.832
62,iaa_pub10057_.jpg,3.06,3.26
63,iaa_pub10058_.jpg,3.76,3.912
64,iaa_pub10059_.jpg,3.46,3.58
65,iaa_pub1005_.jpg,2.36,2.512
66,iaa_pub10060_.jpg,3.24,3.52
67,iaa_pub10061_.jpg,3.12,3.2560000000000002
68,iaa_pub10062_.jpg,3.2,3.1719999999999997
69,iaa_pub10063_.jpg,2.82,3.028
70,iaa_pub10064_.jpg,3.5,3.668
71,iaa_pub10065_.jpg,3.54,3.748
72,iaa_pub10066_.jpg,3.32,3.5439999999999996
73,iaa_pub10067_.jpg,2.96,3.176
74,iaa_pub10068_.jpg,3.12,3.344
75,iaa_pub10069_.jpg,3.8,3.884
76,iaa_pub1006_.jpg,3.3,3.464
77,iaa_pub10070_.jpg,3.36,3.5
78,iaa_pub10071_.jpg,2.78,2.932
79,iaa_pub10072_.jpg,3.08,3.292
80,iaa_pub10073_.jpg,2.94,3.112
81,iaa_pub10074_.jpg,1.88,1.9320000000000002
82,iaa_pub10075_.jpg,3.58,3.7239999999999998
83,iaa_pub10076_.jpg,3.24,3.412
84,iaa_pub10077_.jpg,3.5,3.592
85,iaa_pub10078_.jpg,3.14,3.2760000000000002
86,iaa_pub10079_.jpg,3.18,3.3680000000000003
87,iaa_pub1007_.jpg,1.86,1.916
88,iaa_pub10080_.jpg,3.64,3.6239999999999997
89,iaa_pub10081_.jpg,3.5,3.62
90,iaa_pub10082_.jpg,3.32,3.568
91,iaa_pub10083_.jpg,3.52,3.636
92,iaa_pub10084_.jpg,3.9,4.04
93,iaa_pub10085_.jpg,2.76,2.844
94,iaa_pub10086_.jpg,3.06,3.236
95,iaa_pub10087_.jpg,3.04,3.24
96,iaa_pub10088_.jpg,2.12,2.12
97,iaa_pub10089_.jpg,3.28,3.428
98,iaa_pub1008_.jpg,3.16,3.272
99,iaa_pub10090_.jpg,2.52,2.544
100,iaa_pub10091_.jpg,4.04,4.088
101,iaa_pub10092_.jpg,3.38,3.616
102,iaa_pub10093_.jpg,2.92,3.0639999999999996
103,iaa_pub10094_.jpg,3.32,3.528
104,iaa_pub10095_.jpg,3.34,3.4
105,iaa_pub10096_.jpg,3.1,3.1719999999999997
106,iaa_pub10097_.jpg,3.54,3.8480000000000003
107,iaa_pub10098_.jpg,3.62,3.7439999999999998
108,iaa_pub10099_.jpg,3.04,3.216
109,iaa_pub1009_.jpg,2.92,3.032
110,iaa_pub100_.jpg,2.5,2.628
111,iaa_pub10100_.jpg,4.0,4.112
112,iaa_pub10101_.jpg,3.48,3.7239999999999998
113,iaa_pub10102_.jpg,3.46,3.6
114,iaa_pub10103_.jpg,3.38,3.4960000000000004
115,iaa_pub10104_.jpg,3.64,3.84
116,iaa_pub10105_.jpg,3.04,3.3680000000000003
117,iaa_pub10106_.jpg,3.48,3.68
118,iaa_pub10107_.jpg,2.74,2.9
119,iaa_pub10108_.jpg,3.76,3.9360000000000004
120,iaa_pub10109_.jpg,3.28,3.532
121,iaa_pub1010_.jpg,3.86,3.928
122,iaa_pub10110_.jpg,2.88,3.1039999999999996
123,iaa_pub10111_.jpg,3.32,3.572
124,iaa_pub10112_.jpg,2.96,3.1719999999999997
125,iaa_pub10113_.jpg,3.68,3.792
126,iaa_pub10114_.jpg,3.54,3.68
127,iaa_pub10115_.jpg,3.82,3.948
128,iaa_pub10116_.jpg,2.88,2.944
129,iaa_pub10117_.jpg,3.44,3.528
130,iaa_pub10118_.jpg,3.7,3.8959999999999995
131,iaa_pub10119_.jpg,3.7,3.888
132,iaa_pub1011_.jpg,2.88,2.892
133,iaa_pub10120_.jpg,3.5,3.464
134,iaa_pub10121_.jpg,2.86,3.04
135,iaa_pub10122_.jpg,3.5,3.6519999999999997
136,iaa_pub10123_.jpg,3.72,3.924
137,iaa_pub10124_.jpg,3.94,4.04
138,iaa_pub10125_.jpg,2.86,3.032
139,iaa_pub10126_.jpg,3.18,3.3160000000000003
140,iaa_pub10127_.jpg,4.04,4.128
141,iaa_pub10128_.jpg,2.94,3.092
142,iaa_pub10129_.jpg,3.66,3.82
143,iaa_pub1012_.jpg,2.96,3.116
144,iaa_pub10130_.jpg,2.08,2.2
145,iaa_pub10131_.jpg,1.84,1.8519999999999999
146,iaa_pub10132_.jpg,3.82,3.964
147,iaa_pub10133_.jpg,3.56,3.7039999999999997
148,iaa_pub10134_.jpg,4.16,4.236000000000001
149,iaa_pub10135_.jpg,3.54,3.6839999999999997
150,iaa_pub10136_.jpg,4.16,4.212
151,iaa_pub10137_.jpg,3.28,3.32
152,iaa_pub10138_.jpg,2.56,2.7239999999999998
153,iaa_pub10139_.jpg,2.96,3.116
154,iaa_pub1013_.jpg,3.34,3.4160000000000004
155,iaa_pub10140_.jpg,3.28,3.548
156,iaa_pub10141_.jpg,3.08,3.236
157,iaa_pub10142_.jpg,3.18,3.344
158,iaa_pub10143_.jpg,3.72,3.928
159,iaa_pub10144_.jpg,3.46,3.6319999999999997
160,iaa_pub10145_.jpg,2.84,3.0639999999999996
161,iaa_pub10146_.jpg,3.52,3.648
162,iaa_pub10147_.jpg,3.34,3.536
163,iaa_pub10148_.jpg,3.44,3.636
164,iaa_pub10149_.jpg,3.46,3.608
165,iaa_pub1014_.jpg,2.5,2.784
166,iaa_pub10150_.jpg,3.86,3.992
167,iaa_pub10151_.jpg,4.217391304347826,4.304347826086956
168,iaa_pub10152_.jpg,3.369565217391304,3.643478260869565
169,iaa_pub10153_.jpg,3.0869565217391304,3.1869565217391305
170,iaa_pub10154_.jpg,3.152173913043478,3.4695652173913043
171,iaa_pub10155_.jpg,2.5652173913043477,2.778260869565217
172,iaa_pub10156_.jpg,4.043478260869565,4.004347826086956
173,iaa_pub10157_.jpg,2.891304347826087,3.0217391304347827
174,iaa_pub10158_.jpg,3.239130434782609,3.534782608695652
175,iaa_pub10159_.jpg,3.0652173913043477,3.2304347826086954
176,iaa_pub1015_.jpg,2.44,2.576
177,iaa_pub10160_.jpg,3.608695652173913,3.717391304347826
178,iaa_pub10161_.jpg,3.5652173913043477,3.691304347826087
179,iaa_pub10162_.jpg,3.1739130434782608,3.4565217391304346
180,iaa_pub10163_.jpg,3.760869565217391,3.808695652173913
181,iaa_pub10164_.jpg,4.173913043478261,4.243478260869565
182,iaa_pub10165_.jpg,3.4782608695652173,3.6
183,iaa_pub10166_.jpg,3.130434782608696,3.3739130434782605
184,iaa_pub10167_.jpg,3.152173913043478,3.3869565217391306
185,iaa_pub10168_.jpg,3.347826086956522,3.5652173913043477
186,iaa_pub10169_.jpg,1.7391304347826086,2.0130434782608693
187,iaa_pub1016_.jpg,2.34,2.56
188,iaa_pub10170_.jpg,2.0869565217391304,2.2695652173913046
189,iaa_pub10171_.jpg,2.4782608695652173,2.6565217391304348
190,iaa_pub10172_.jpg,3.1739130434782608,3.5173913043478264
191,iaa_pub10173_.jpg,3.130434782608696,3.2347826086956526
192,iaa_pub10174_.jpg,3.0652173913043477,3.260869565217391
193,iaa_pub10175_.jpg,2.5652173913043477,2.9956521739130437
194,iaa_pub10176_.jpg,3.0869565217391304,3.382608695652174
195,iaa_pub10177_.jpg,3.717391304347826,3.7956521739130435
196,iaa_pub10178_.jpg,1.5869565217391304,1.608695652173913
197,iaa_pub10179_.jpg,2.847826086956522,2.9695652173913043
198,iaa_pub1017_.jpg,2.7,2.752
199,iaa_pub10180_.jpg,2.0869565217391304,2.3
200,iaa_pub10181_.jpg,3.5869565217391304,3.8043478260869565
201,iaa_pub10182_.jpg,2.0652173913043477,2.1913043478260867
202,iaa_pub10183_.jpg,4.043478260869565,4.234782608695652
203,iaa_pub10184_.jpg,2.9565217391304346,3.217391304347826
204,iaa_pub10185_.jpg,2.739130434782609,2.9217391304347826
205,iaa_pub10186_.jpg,1.4130434782608696,1.5130434782608695
206,iaa_pub10187_.jpg,2.5217391304347827,2.6782608695652175
207,iaa_pub10188_.jpg,2.4130434782608696,2.4956521739130433
208,iaa_pub10189_.jpg,3.130434782608696,3.4565217391304346
209,iaa_pub1018_.jpg,3.5,3.572
210,iaa_pub10190_.jpg,1.673913043478261,1.7826086956521738
211,iaa_pub10191_.jpg,1.608695652173913,1.5739130434782607
212,iaa_pub10192_.jpg,2.891304347826087,3.178260869565217
213,iaa_pub10193_.jpg,3.6739130434782608,3.7652173913043474
